element,global_weight
proximity_city_center_positive,0.09661577446
staff_friendliness_positive,0.07035791774
staff_helpfulness_positive,0.04887091457
overall_atmosphere_positive,0.04782608161
proximity_attractions_positive,0.04520256683
in_room_facilities_positive,0.0416064902
overall_hotel_cleanliness_positive,0.03854648092
bed_comfort_positive,0.03627619113
size_positive,0.02953330936
cleanliness_positive,0.02557110197
design_style_positive,0.02462008121
proximity_restaurants_positive,0.02217831043
value_for_money_positive,0.0210114477
breakfast_quality_positive,0.02086772154
noise_levels_negative,0.01851104311
balcony_or_terrace_positive,0.01727535524
proximity_public_transport_positive,0.01676355961
noise_levels_positive,0.01612821537
responsiveness_to_requests_positive,0.01588034676
in_room_facilities_negative,0.01517409943
views_positive,0.01489046289
bathroom_quality_negative,0.01401713151
proximity_shops_positive,0.0137710953
bathroom_quality_positive,0.01324231284
size_negative,0.008785540096
air_conditioning_positive,0.007185030753
proximity_beach_positive,0.007117568148
neighborhood_vibrancy_positive,0.007031074102
maintenance_negative,0.006751090519
soundproofing_negative,0.006504924539
proximity_nightlife_positive,0.006135993469
concierge_service_positive,0.005529395055
elevator_availability_negative,0.004778355062
safety_area_positive,0.00472765703
housekeeping_service_positive,0.004662630318
restaurant_quality_positive,0.004605056889
speed_positive,0.00443805402
scenic_surroundings_positive,0.004434895494
responsiveness_to_requests_negative,0.004366735424
renovation_status_positive,0.00431325486
lighting_negative,0.004300194335
availability_positive,0.004250005211
breakfast_variety_positive,0.004226388233
air_conditioning_negative,0.004201803957
bed_comfort_negative,0.003966934907
layout_positive,0.003807765967
proximity_sea_positive,0.003684719911
furniture_condition_positive,0.003480565671
keyless_entry_positive,0.003455621274
value_for_money_negative,0.003318704547
breakfast_quality_negative,0.003287599751
bar_quality_positive,0.003263931851
smells_negative,0.003216628777
keyless_entry_negative,0.003163529441
professionalism_positive,0.003119929464
flexibility_positive,0.003026818914
layout_negative,0.002984334411
renovation_status_negative,0.002976613934
furniture_condition_negative,0.002874165211
availability_negative,0.002847182555
views_negative,0.002802560952
temperature_control_negative,0.002681082388
balcony_or_terrace_negative,0.002621997388
shower_water_pressure_positive,0.002584028913
housekeeping_service_negative,0.002513255576
lighting_positive,0.002483221623
towels_freshness_positive,0.002444495608
soundproofing_positive,0.002426639212
overall_hotel_cleanliness_negative,0.002301731237
special_experiences_positive,0.002292540784
linens_freshness_positive,0.002278912075
elevator_availability_positive,0.002259031938
proximity_to_hotel_positive,0.00224759355
wheelchair_accessibility_negative,0.002213102778
reliability_positive,0.002187247486
toiletries_positive,0.002097360148
coffee_quality_positive,0.002063804498
maintenance_positive,0.002005989033
reliability_negative,0.001984204186
toiletries_negative,0.001944128877
breakfast_variety_negative,0.00189681723
pool_size_positive,0.001775326942
pool_cleanliness_positive,0.001663412994
safety_area_negative,0.001651537771
early_checkin_positive,0.001617392071
overall_atmosphere_negative,0.001597770025
mattress_quality_negative,0.001505974507
speed_negative,0.001497781819
unexpected_fees_negative,0.001484509986
proximity_city_center_negative,0.001393262377
design_style_negative,0.001321018967
room_service_positive,0.001316627184
pillow_quality_negative,0.00130930382
flexibility_negative,0.001291575116
pillow_quality_positive,0.001288818291
staff_friendliness_negative,0.001270651034
price_positive,0.00124915763
proximity_airport_positive,0.001241959164
temperature_control_positive,0.001204786208
staff_helpfulness_negative,0.001178594746
towels_freshness_negative,0.001164713102
airport_transfer_positive,0.001135221124
taxi_availability_positive,0.001079237643
proximity_nightlife_negative,0.001060113382
pest_control_negative,0.001058854322
linens_freshness_negative,0.001033627166
proximity_to_hotel_negative,0.001022693682
neighborhood_vibrancy_negative,0.001009599606
family_room_availability_positive,0.0009941074466
heating_positive,0.0009629125739
professionalism_negative,0.0009584783189
spa_quality_positive,0.0009341466621
restaurant_quality_negative,0.0008956131987
shower_water_pressure_negative,0.0008585037297
multilingual_staff_negative,0.0008392686019
heating_negative,0.0008202534754
price_negative,0.0007898405938
mattress_quality_positive,0.0007612793853
bar_quality_negative,0.0007344357614
multilingual_staff_positive,0.0007284356751
activities_for_families_positive,0.0007073468405
ease_booking_payment_negative,0.0007068764867
pool_size_negative,0.0006827866263
late_checkout_positive,0.0006085490106
cleanliness_negative,0.0005654912968
coffee_quality_negative,0.0005483643394
smells_positive,0.0005333885051
security_positive,0.0005210306335
local_cuisine_availability_positive,0.0005121240137
coverage_negative,0.0004963508644
sunbeds_availability_positive,0.0004960297521
restaurant_price_negative,0.0004667738919
proximity_attractions_negative,0.0004310806562
pool_bar_positive,0.0004299908984
sunbeds_availability_negative,0.0004297300571
proximity_public_transport_negative,0.0004250086795
taxi_availability_negative,0.000422644884
early_checkin_negative,0.0003995683974
proximity_restaurants_negative,0.0003875439648
restaurant_price_positive,0.0003547076012
ease_booking_payment_positive,0.000317887034
shuttle_service_positive,0.0003149102321
concierge_service_negative,0.0003140450885
pool_temperature_negative,0.0003130814979
dietary_options_negative,0.000303096912
wheelchair_accessibility_positive,0.0002903492367
