element,global_weight
staff_friendliness_positive,0.09044536423
overall_atmosphere_positive,0.0609063247
staff_helpfulness_positive,0.05146356142
proximity_city_center_positive,0.04734206697
proximity_beach_positive,0.03920196897
in_room_facilities_positive,0.035071038
overall_hotel_cleanliness_positive,0.03373577084
views_positive,0.03358890032
breakfast_quality_positive,0.0275363275
bed_comfort_positive,0.02623468271
cleanliness_positive,0.02564223927
size_positive,0.02448644956
balcony_or_terrace_positive,0.02162461339
proximity_restaurants_positive,0.02034700592
proximity_attractions_positive,0.01932494017
design_style_positive,0.01931736156
restaurant_quality_positive,0.01708945194
value_for_money_positive,0.01698960129
scenic_surroundings_positive,0.01498960618
noise_levels_positive,0.01480685091
proximity_shops_positive,0.01344683355
pool_cleanliness_positive,0.01232187832
in_room_facilities_negative,0.0120196831
responsiveness_to_requests_positive,0.01175916979
bathroom_quality_negative,0.01040266057
proximity_sea_positive,0.01024635273
proximity_public_transport_positive,0.009921588225
noise_levels_negative,0.009905734831
housekeeping_service_positive,0.009022035304
bathroom_quality_positive,0.008260027957
pool_size_positive,0.007381003608
breakfast_variety_positive,0.007040325388
availability_positive,0.006842400612
concierge_service_positive,0.005789884603
air_conditioning_positive,0.005476759878
neighborhood_vibrancy_positive,0.005222132525
proximity_nightlife_positive,0.005009325956
maintenance_negative,0.00490564822
renovation_status_positive,0.004750305748
bar_quality_positive,0.004686072388
size_negative,0.004518770966
air_conditioning_negative,0.00382935339
professionalism_positive,0.003791486615
restaurant_quality_negative,0.003767504872
bed_comfort_negative,0.003756849249
sunbeds_availability_positive,0.003732717765
breakfast_quality_negative,0.003701412103
special_experiences_positive,0.003674821339
renovation_status_negative,0.00366236549
towels_freshness_positive,0.00343841517
responsiveness_to_requests_negative,0.003376930227
soundproofing_negative,0.00321325813
furniture_condition_positive,0.003009319869
activities_for_families_positive,0.002890773161
value_for_money_negative,0.002850205973
balcony_or_terrace_negative,0.00277429985
maintenance_positive,0.002758787675
proximity_city_center_negative,0.002553600278
wheelchair_accessibility_negative,0.00254125454
layout_positive,0.002522182476
safety_area_positive,0.002427480998
speed_positive,0.002376837551
proximity_airport_positive,0.00234446247
linens_freshness_positive,0.002308020272
furniture_condition_negative,0.002306660613
breakfast_variety_negative,0.002305680534
housekeeping_service_negative,0.002280508573
reliability_negative,0.002256332462
availability_negative,0.002161987141
