element,global_weight
staff_friendliness_positive,0.08509149585
breakfast_quality_positive,0.05427410384
overall_atmosphere_positive,0.0488118806
proximity_city_center_positive,0.0476639005
staff_helpfulness_positive,0.04190242868
in_room_facilities_positive,0.03422533558
bed_comfort_positive,0.03225397631
size_positive,0.03083947128
restaurant_quality_positive,0.02765914265
overall_hotel_cleanliness_positive,0.02705871347
cleanliness_positive,0.02606526196
views_positive,0.02319889334
scenic_surroundings_positive,0.02018015297
design_style_positive,0.0191294598
proximity_attractions_positive,0.01871444513
value_for_money_positive,0.01774761743
availability_positive,0.01603200344
proximity_public_transport_positive,0.01571896947
in_room_facilities_negative,0.01401834388
mountain_views_positive,0.01345659809
balcony_or_terrace_positive,0.01336433794
noise_levels_positive,0.01223527233
breakfast_variety_positive,0.01111409187
bathroom_quality_positive,0.01086859986
proximity_ski_lift_positive,0.01049849491
spa_quality_positive,0.009352535215
proximity_shops_positive,0.009005904965
noise_levels_negative,0.008888367601
bathroom_quality_negative,0.008776289574
proximity_restaurants_positive,0.008675822853
sauna_positive,0.007675407654
responsiveness_to_requests_positive,0.007072304736
size_negative,0.005896242144
proximity_ski_resort_positive,0.005802510677
responsiveness_to_requests_negative,0.005274152204
restaurant_quality_negative,0.004975336044
maintenance_negative,0.004948075234
pool_cleanliness_positive,0.004925472539
proximity_hiking_trails_positive,0.004632700145
breakfast_quality_negative,0.004467217703
bar_quality_positive,0.004464698456
temperature_control_negative,0.00444942205
air_conditioning_negative,0.004373363583
renovation_status_negative,0.004247938959
renovation_status_positive,0.004131088557
neighborhood_vibrancy_positive,0.004117931382
value_for_money_negative,0.004015248624
activities_for_families_positive,0.004002293509
breakfast_variety_negative,0.003931677878
ski_storage_positive,0.003929137775
price_positive,0.003657004643
speed_positive,0.003649080838
layout_positive,0.00359335772
proximity_city_center_negative,0.003559320217
bed_comfort_negative,0.003528965942
availability_negative,0.00345473457
overall_hotel_cleanliness_negative,0.003314214058
concierge_service_positive,0.003309872968
pillow_quality_negative,0.003200949964
